Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementAttributeValue,Chrome 69.0.3497.100,verify same with input data from step 1,2018-10-15 16:33:51,2018-10-15 16:33:51,0.231s,PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,verify same with input data from step 1,2018-10-15 16:33:51,2018-10-15 16:33:52,0.109s,PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,verify same with input data from step 1,2018-10-15 16:33:52,2018-10-15 16:33:52,0.114s,PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,verify same with input data from step 1,2018-10-15 16:33:52,2018-10-15 16:33:52,0.119s,PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,verify same with input data from step 1,2018-10-15 16:33:52,2018-10-15 16:33:52,0.103s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:33:52,2018-10-15 16:33:53,0.949s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_12_Verify that submitting un-successfully payment with missing street address at step 2,Chrome 69.0.3497.100,,2018-10-15 16:33:53,2018-10-15 16:34:15,22.439s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:33:53,2018-10-15 16:33:53,0.003s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:33:53,2018-10-15 16:34:01,7.790s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:34:01,2018-10-15 16:34:02,0.608s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:34:02,2018-10-15 16:34:02,0.454s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:34:02,2018-10-15 16:34:02,0.001s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:34:02,2018-10-15 16:34:03,0.801s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 16:34:03,2018-10-15 16:34:04,0.497s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 16:34:04,2018-10-15 16:34:04,0.666s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:34:04,2018-10-15 16:34:05,0.496s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:34:05,2018-10-15 16:34:05,0.422s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 16:34:05,2018-10-15 16:34:06,0.388s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:34:06,2018-10-15 16:34:08,2.763s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:34:08,2018-10-15 16:34:09,0.473s,PASSED
setText,Chrome 69.0.3497.100,input zip code,2018-10-15 16:34:09,2018-10-15 16:34:09,0.436s,PASSED
setText,Chrome 69.0.3497.100,input card number,2018-10-15 16:34:09,2018-10-15 16:34:10,0.825s,PASSED
selectOptionByIndex,Chrome 69.0.3497.100,select date,2018-10-15 16:34:10,2018-10-15 16:34:10,0.414s,PASSED
selectOptionByIndex,Chrome 69.0.3497.100,select date,2018-10-15 16:34:10,2018-10-15 16:34:11,0.501s,PASSED
setText,Chrome 69.0.3497.100,input card CVV,2018-10-15 16:34:11,2018-10-15 16:34:11,0.468s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:34:11,2018-10-15 16:34:12,0.511s,PASSED
